Название пары,Текущая цена,Максимальная цена за сутки,Минимальная цена за сутки,Изменение цены за сутки,Изменение цены в процентах за сутки,Объем торгов за сутки
USDTTRY,18.78800000,18.83500000,18.71200000,0.05500000,0.294%,60971952.00000000
USDTRUB,61.58000000,61.70000000,61.39000000,0.01000000,0.016%,844770.00000000
BTCEUR,20315.75000000,20774.63000000,20170.71000000,-205.75000000,-1.003%,4496.20742000
ETHEUR,1515.36000000,1579.27000000,1495.80000000,-24.27000000,-1.576%,32468.67630000
BNBEUR,288.10000000,290.30000000,285.80000000,1.40000000,0.488%,6789.91100000
XRPEUR,0.46380000,0.47530000,0.45910000,-0.00610000,-1.298%,6732207.00000000
EURBUSD,0.99530000,1.00540000,0.99240000,-0.00970000,-0.965%,17539300.80000000
EURUSDT,0.99510000,1.00530000,0.99230000,-0.00990000,-0.985%,28609827.40000000
OGNBNB,0.00049000,0.00050600,0.00048900,-0.00001300,-2.584%,50633.00000000
OGNBTC,0.00000696,0.00000709,0.00000689,-0.00000005,-0.713%,769429.00000000
OGNUSDT,0.14090000,0.14590000,0.13920000,-0.00420000,-2.895%,13807208.00000000
DREPBNB,0.00009380,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
DREPBTC,0.00001934,0.00001976,0.00001907,0.00000012,0.624%,181244.00000000
DREPUSDT,0.39080000,0.40160000,0.38740000,-0.00590000,-1.487%,1020541.00000000
BULLUSDT,1370.28000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BULLBUSD,1368.56000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BEARUSDT,11.16000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BEARBUSD,11.14000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ETHBULLUSDT,79.18000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ETHBULLBUSD,78.46000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ETHBEARUSDT,12.20000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ETHBEARBUSD,12.24000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
TCTBNB,0.00041860,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
TCTBTC,0.00000016,0.00000020,0.00000015,-0.00000002,-11.111%,68413286.00000000
TCTUSDT,0.00312000,0.00378000,0.00310000,-0.00028000,-8.235%,564410307.00000000
WRXBNB,0.00070600,0.00071300,0.00070000,-0.00000400,-0.563%,27254.10000000
